Student_ID,Gender,Graduation_Year,Branch,CGPA,Tenth_Percentage,Twelfth_Percentage,Backlogs,Internship,Projects,Certifications,Skills,DSA_Score,Technical_Score,Aptitude_Score,Communication_Score,Placement_Status,Company,Job_Role,Package_LPA
STU20240001,Male,2026,EEE,8.86,89.2,74.7,0,No,3,1,"C, IoT, Embedded C",90.8,93.6,54.3,82.7,Placed,Siemens,Electrical Engineer,6.64
STU20240002,Male,2026,IT,9.4,89.0,93.2,0,Yes,5,2,"AWS, SQL, Git, DSA",98.0,81.8,92.1,90.6,Placed,Deloitte,Data Analyst,10.16
STU20240003,Female,2024,Mechanical,7.83,,74.8,2,No,2,1,"SolidWorks, CATIA, MATLAB, Excel, Python, C",78.9,82.9,60.4,55.1,Not Placed,Not Placed,Not Placed,0.0
STU20240004,Male,2024,EEE,6.61,82.0,69.0,0,No,1,2,"C++, AutoCAD, IoT, SQL, Arduino",67.3,80.1,71.8,97.6,Placed,HCLTech,Electrical Engineer,3.58
STU20240005,Male,2025,CSE,9.51,82.2,66.0,1,No,4,1,"Python, Node.js, C++, DSA, Git",78.6,97.6,76.9,65.1,Placed,Infosys,Web Developer,6.45
STU20240006,Male,2024,Civil,6.63,86.2,66.5,3,No,2,0,"C, Python, Primavera, STAAD Pro, MATLAB, AutoCAD",69.9,73.0,79.7,48.1,Not Placed,Not Placed,Not Placed,0.0
STU20240007,Female,2025,EEE,7.94,86.8,80.1,1,No,2,1,"Python, SQL, C++, AutoCAD, Java",86.2,98.0,73.7,55.2,Placed,L&T Technology Services,Electrical Engineer,4.51
STU20240008,Male,2027,Mechanical,7.33,70.4,78.5,0,No,3,1,"CATIA, Excel, C",79.1,77.5,89.7,66.5,Not Placed,Not Placed,Not Placed,0.0
STU20240009,Female,2024,CSE,7.63,79.3,71.0,0,No,2,1,"Python, DSA, Git, Node.js, MongoDB",72.9,86.0,61.2,63.4,Placed,Accenture,Data Analyst,5.03
STU20240010,Male,2025,IT,8.55,68.5,73.9,0,Yes,5,0,"Node.js, MongoDB, AWS, DSA, React, Java",98.0,85.1,60.7,62.9,Placed,TCS,Full Stack Developer,7.71
STU20240011,Male,2026,IT,8.11,88.9,89.9,1,Yes,3,0,"Java, DSA, SQL, React",79.9,74.7,63.9,57.5,Placed,Infosys,Software Developer,7.08
STU20240012,Male,2026,Civil,7.94,79.4,95.3,1,Yes,4,1,"Revit, STAAD Pro, GIS, MATLAB",79.6,73.8,80.0,55.5,Placed,Afcons Infrastructure,Design Engineer,5.28
STU20240013,Male,2024,ECE,7.06,85.1,82.1,1,No,2,0,"C, C++, SQL, IoT, Embedded C, Java",77.0,67.2,77.0,88.2,Not Placed,Not Placed,Not Placed,0.0
STU20240014,Female,2024,Mechanical,7.4,75.7,85.9,2,No,2,0,"AutoCAD, Excel, SQL",92.7,84.0,52.9,72.6,Not Placed,Not Placed,Not Placed,0.0
STU20240015,Male,2027,IT,7.25,63.1,87.0,6,No,2,3,"Node.js, Java, DSA",74.4,96.5,58.0,80.4,Not Placed,Not Placed,Not Placed,0.0
STU20240016,Male,2024,CSE,7.83,96.0,91.6,1,Yes,2,1,"Python, C++, DSA",68.5,88.2,75.1,61.2,Placed,Deloitte,Backend Developer,7.5
STU20240017,Male,2026,ECE,7.65,78.0,73.5,1,Yes,3,1,"C, Embedded C, IoT",87.3,79.4,86.8,67.7,Placed,Wipro,Software Developer,6.22
STU20240018,Male,2027,CSE,9.57,74.9,74.7,0,No,2,1,"MongoDB, Python, C++, React, Java",83.9,84.6,69.1,56.2,Placed,TCS,Data Analyst,6.85
STU20240019,Male,2025,Mechanical,7.33,84.3,87.6,2,No,1,2,"Excel, CATIA, Python, SolidWorks, C",80.8,81.8,50.8,62.4,Placed,L&T,Mechanical Engineer,3.91
STU20240020,Male,2026,ECE,5.94,87.1,64.3,1,No,1,1,"Git, MATLAB, IoT, Java, Arduino",42.6,60.8,76.8,81.2,Not Placed,Not Placed,Not Placed,0.0
STU20240021,Female,2024,EEE,8.84,78.7,71.7,0,No,4,0,"C++, SQL, Arduino, AutoCAD, MATLAB",89.6,97.0,52.6,63.2,Placed,L&T Technology Services,Embedded Engineer,5.97
STU20240022,Female,2025,IT,8.28,78.0,70.3,0,Yes,3,0,"Git, React, AWS, MongoDB, Node.js",80.9,87.6,80.1,71.2,Placed,HCLTech,Data Analyst,7.27
STU20240023,Female,2025,Civil,7.39,78.1,74.0,1,No,2,0,"SQL, MATLAB, C",65.4,68.3,41.4,60.4,Not Placed,Not Placed,Not Placed,0.0
STU20240024,Male,2027,Mechanical,7.18,68.2,60.5,1,No,1,0,"SolidWorks, Python, Excel, AutoCAD, C++",58.8,90.3,67.2,77.7,Placed,Tata Motors,Design Engineer,3.33
STU20240025,Male,2024,EEE,6.85,70.3,63.5,1,No,3,0,"Java, MATLAB, Arduino, IoT",73.4,64.7,62.8,61.7,Not Placed,Not Placed,Not Placed,0.0
